date,open,high,low,close
2025-05-20 02:54:00,3210.02002,3210.76001,3209.93994,3210.62012
2025-05-20 02:55:00,3210.62012,3210.83008,3209.29004,3209.31006
2025-05-20 02:56:00,3209.31006,3210.78003,3208.76001,3210.77002
2025-05-20 02:57:00,3210.76001,3211.82007,3207.97998,3210.78003
2025-05-20 02:58:00,3210.73999,3210.76001,3207.91992,3208.09009
2025-05-20 02:59:00,3208.1001,3208.44995,3206.53003,3206.71997
2025-05-20 03:00:00,3206.75,3206.97998,3205.16992,3205.44995
2025-05-20 03:01:00,3205.53003,3207.01001,3204.77002,3206.1001
2025-05-20 03:02:00,3206.01001,3207.48999,3204.75,3204.81006
2025-05-20 03:03:00,3204.81006,3206.07007,3204.70996,3205.88989
2025-05-20 03:04:00,3205.8999,3208.1001,3205.76001,3208.05005
2025-05-20 03:05:00,3208.03003,3209.1001,3207.36011,3209.03003
2025-05-20 03:06:00,3209.03003,3209.31006,3207.65991,3209.19995
2025-05-20 03:07:00,3209.19995,3210.18994,3208.97998,3210.11011
2025-05-20 03:08:00,3210.21997,3211.34009,3210.03003,3211.22998
2025-05-20 03:09:00,3211.07007,3211.08008,3210.05005,3210.52002
2025-05-20 03:10:00,3210.53003,3211.81006,3209.95996,3211.53003
2025-05-20 03:11:00,3211.51001,3212.42993,3210.66992,3211.97998
2025-05-20 03:12:00,3211.97998,3212.23999,3211.17993,3211.43994
2025-05-20 03:13:00,3211.43994,3211.82007,3211.09009,3211.78003
2025-05-20 03:14:00,3211.78003,3212.6001,3211.37988,3211.38989
2025-05-20 03:15:00,3211.38989,3211.69995,3210.27002,3210.90991
2025-05-20 03:16:00,3210.91992,3213.57007,3210.88989,3213.26001
2025-05-20 03:17:00,3213.26001,3214.0,3213.26001,3213.86011
2025-05-20 03:18:00,3213.8501,3213.8999,3212.93994,3212.98999
2025-05-20 03:19:00,3212.98999,3213.09009,3212.62988,3212.96997
2025-05-20 03:20:00,3212.97998,3213.86011,3212.88989,3213.34009
2025-05-20 03:21:00,3213.32007,3214.06006,3213.19995,3213.69995
2025-05-20 03:22:00,3213.62988,3214.21997,3213.31006,3213.90991
2025-05-20 03:23:00,3213.90991,3213.90991,3212.94995,3213.90991
2025-05-20 03:24:00,3213.94995,3213.94995,3213.15991,3213.27002
2025-05-20 03:25:00,3213.26001,3213.40991,3212.6001,3213.09009
2025-05-20 03:26:00,3213.05005,3213.62012,3212.84009,3213.47998
2025-05-20 03:27:00,3213.47998,3213.68994,3212.68994,3212.78003
2025-05-20 03:28:00,3212.79004,3213.09009,3212.23999,3212.29004
2025-05-20 03:29:00,3212.30005,3212.88989,3211.75,3212.73999
2025-05-20 03:30:00,3212.81006,3212.84009,3210.72998,3210.88989
2025-05-20 03:31:00,3210.8999,3211.5,3210.44995,3210.67993
2025-05-20 03:32:00,3210.66992,3211.07007,3210.21997,3210.44995
2025-05-20 03:33:00,3210.43994,3210.53003,3209.76001,3210.15991
2025-05-20 03:34:00,3210.1499,3210.46997,3209.51001,3210.0
2025-05-20 03:35:00,3209.91992,3210.42993,3208.0,3208.42993
2025-05-20 03:36:00,3208.40991,3209.47998,3207.43994,3207.63989
2025-05-20 03:37:00,3207.63989,3208.42993,3207.25,3208.3501
2025-05-20 03:38:00,3208.34009,3209.51001,3208.30005,3209.45996
2025-05-20 03:39:00,3209.44995,3210.5,3208.92993,3210.18994
2025-05-20 03:40:00,3210.19995,3211.11011,3209.42993,3210.06006
2025-05-20 03:41:00,3209.93994,3212.01001,3209.22998,3211.98999
2025-05-20 03:42:00,3211.97998,3212.1499,3210.71997,3211.21997
2025-05-20 03:43:00,3211.28003,3213.79004,3211.28003,3213.40991
2025-05-20 03:44:00,3213.38989,3213.44995,3211.53003,3211.88989
2025-05-20 03:45:00,3211.88989,3212.68994,3211.86011,3212.32007
2025-05-20 03:46:00,3212.28003,3213.86011,3212.17993,3213.83008
2025-05-20 03:47:00,3213.76001,3213.76001,3212.40991,3212.56006
2025-05-20 03:48:00,3212.55005,3212.86011,3212.15991,3212.19995
2025-05-20 03:49:00,3212.22998,3213.04004,3212.09009,3212.27002
2025-05-20 03:50:00,3212.27002,3212.28003,3211.26001,3211.28003
2025-05-20 03:51:00,3211.26001,3212.04004,3210.97998,3211.72998
2025-05-20 03:52:00,3211.73999,3211.73999,3210.81006,3211.12012
2025-05-20 03:53:00,3211.11011,3212.09009,3211.11011,3211.87012
2025-05-20 03:54:00,3211.87988,3212.40991,3211.86011,3212.13989
2025-05-20 03:55:00,3212.17993,3212.23999,3211.21997,3211.62012
2025-05-20 03:56:00,3211.62012,3211.90991,3211.55005,3211.84009
2025-05-20 03:57:00,3211.84009,3212.75,3211.12012,3212.53003
2025-05-20 03:58:00,3212.55005,3212.62012,3211.33008,3211.3501
2025-05-20 03:59:00,3211.32007,3211.82007,3210.94995,3211.55005
2025-05-20 04:00:00,3211.54004,3212.26001,3211.52002,3212.12988
2025-05-20 04:01:00,3212.13989,3212.33008,3211.51001,3212.1499
2025-05-20 04:02:00,3212.19995,3212.53003,3211.48999,3212.51001
2025-05-20 04:03:00,3212.52002,3213.13989,3212.27002,3213.13989
2025-05-20 04:04:00,3213.12988,3213.23999,3212.90991,3213.1001
2025-05-20 04:05:00,3213.1001,3213.11011,3212.51001,3212.66992
2025-05-20 04:06:00,3212.68994,3213.56006,3212.68994,3212.91992
2025-05-20 04:07:00,3212.90991,3213.15991,3212.31006,3212.70996
2025-05-20 04:08:00,3212.70996,3213.18994,3212.46997,3213.07007
2025-05-20 04:09:00,3213.07007,3213.17993,3212.76001,3212.86011
2025-05-20 04:10:00,3212.87012,3213.73999,3212.61011,3213.73999
2025-05-20 04:11:00,3213.73999,3214.25,3213.51001,3213.8501
2025-05-20 04:12:00,3213.86011,3213.86011,3213.21997,3213.36011
2025-05-20 04:13:00,3213.36011,3213.98999,3212.80005,3212.87012
2025-05-20 04:14:00,3212.82007,3213.53003,3212.46997,3213.40991
2025-05-20 04:15:00,3213.3999,3213.6001,3212.73999,3213.27002
2025-05-20 04:16:00,3213.27002,3213.54004,3213.05005,3213.05005
2025-05-20 04:17:00,3213.09009,3214.31006,3213.09009,3213.97998
2025-05-20 04:18:00,3213.98999,3214.54004,3213.6499,3214.15991
2025-05-20 04:19:00,3214.15991,3214.15991,3213.27002,3213.46997
2025-05-20 04:20:00,3213.12988,3214.78003,3212.86011,3214.63989
2025-05-20 04:21:00,3214.63989,3215.09009,3214.11011,3214.80005
2025-05-20 04:22:00,3214.82007,3214.88989,3213.53003,3213.53003
2025-05-20 04:23:00,3213.38989,3213.71997,3212.93994,3213.61011
2025-05-20 04:24:00,3213.61011,3214.21997,3213.37988,3213.65991
2025-05-20 04:25:00,3213.66992,3214.95996,3213.43994,3214.41992
2025-05-20 04:26:00,3214.37988,3215.01001,3214.1499,3214.62012
2025-05-20 04:27:00,3214.61011,3214.61011,3211.32007,3212.28003
2025-05-20 04:28:00,3212.26001,3212.95996,3212.12012,3212.82007
2025-05-20 04:29:00,3212.86011,3213.62012,3212.67993,3213.05005
2025-05-20 04:30:00,3213.05005,3213.26001,3211.36011,3211.69995
2025-05-20 04:31:00,3211.76001,3212.55005,3211.37988,3212.05005
2025-05-20 04:32:00,3212.05005,3212.26001,3211.32007,3212.23999
2025-05-20 04:33:00,3212.22998,3212.5,3211.92993,3212.07007
2025-05-20 04:34:00,3212.17993,3213.25,3211.92993,3213.1001
2025-05-20 04:35:00,3213.11011,3213.86011,3212.71997,3212.92993
2025-05-20 04:36:00,3212.92993,3213.53003,3212.42993,3212.42993
2025-05-20 04:37:00,3212.41992,3212.78003,3211.66992,3211.68994
2025-05-20 04:38:00,3211.67993,3212.1499,3211.40991,3211.62988
2025-05-20 04:39:00,3211.62012,3212.5,3211.27002,3212.21997
2025-05-20 04:40:00,3212.21997,3213.03003,3212.13989,3212.86011
2025-05-20 04:41:00,3212.87988,3213.67993,3212.15991,3213.59009
2025-05-20 04:42:00,3213.62012,3213.88989,3213.04004,3213.19995
2025-05-20 04:43:00,3213.20996,3213.32007,3212.94995,3213.30005
2025-05-20 04:44:00,3213.30005,3213.62988,3212.83008,3212.86011
2025-05-20 04:45:00,3212.86011,3213.3999,3212.83008,3213.38989
2025-05-20 04:46:00,3213.37988,3213.57007,3212.75,3213.22998
2025-05-20 04:47:00,3213.23999,3213.86011,3213.15991,3213.86011
2025-05-20 04:48:00,3213.8501,3214.32007,3213.62012,3214.02002
2025-05-20 04:49:00,3214.0,3214.61011,3213.83008,3214.61011
2025-05-20 04:50:00,3214.61011,3214.73999,3214.20996,3214.73999
2025-05-20 04:51:00,3214.75,3216.07007,3214.72998,3215.96997
2025-05-20 04:52:00,3215.96997,3217.22998,3215.80005,3215.87988
2025-05-20 04:53:00,3215.94995,3217.1499,3215.92993,3217.01001
2025-05-20 04:54:00,3217.02002,3217.38989,3216.71997,3217.19995
2025-05-20 04:55:00,3217.20996,3217.84009,3216.76001,3217.17993
2025-05-20 04:56:00,3217.18994,3218.03003,3217.17993,3217.90991
2025-05-20 04:57:00,3217.88989,3218.07007,3217.63989,3217.94995
2025-05-20 04:58:00,3217.95996,3218.01001,3217.30005,3217.71997
2025-05-20 04:59:00,3217.71997,3217.72998,3216.8501,3217.34009
2025-05-20 05:00:00,3217.32007,3218.55005,3217.27002,3218.44995
2025-05-20 05:01:00,3218.44995,3219.02002,3217.11011,3217.34009
2025-05-20 05:02:00,3217.32007,3217.40991,3216.47998,3216.65991
2025-05-20 05:03:00,3216.6499,3216.6499,3214.44995,3216.03003
2025-05-20 05:04:00,3216.03003,3216.88989,3215.15991,3216.88989
2025-05-20 05:05:00,3217.01001,3218.88989,3216.87988,3218.47998
2025-05-20 05:06:00,3218.44995,3219.42993,3218.26001,3219.3999
2025-05-20 05:07:00,3219.3999,3219.88989,3218.33008,3219.26001
2025-05-20 05:08:00,3219.26001,3219.43994,3218.47998,3218.67993
2025-05-20 05:09:00,3218.6499,3218.69995,3217.79004,3217.97998
2025-05-20 05:10:00,3218.01001,3218.1499,3216.33008,3216.33008
2025-05-20 05:11:00,3216.33008,3216.78003,3215.44995,3216.43994
2025-05-20 05:12:00,3216.51001,3216.51001,3215.57007,3216.07007
2025-05-20 05:13:00,3216.08008,3216.1499,3215.38989,3215.70996
2025-05-20 05:14:00,3215.71997,3215.71997,3214.73999,3215.21997
2025-05-20 05:15:00,3215.32007,3216.13989,3215.21997,3215.90991
2025-05-20 05:16:00,3215.90991,3216.47998,3215.72998,3216.07007
2025-05-20 05:17:00,3216.07007,3216.46997,3215.96997,3216.15991
2025-05-20 05:18:00,3216.1499,3216.21997,3215.28003,3215.37988
2025-05-20 05:19:00,3215.42993,3216.18994,3215.42993,3216.18994
2025-05-20 05:20:00,3216.18994,3216.94995,3215.86011,3216.07007
2025-05-20 05:21:00,3216.07007,3216.16992,3215.16992,3215.43994
2025-05-20 05:22:00,3215.42993,3215.42993,3214.32007,3214.32007
2025-05-20 05:23:00,3214.33008,3215.1001,3214.19995,3214.8501
2025-05-20 05:24:00,3214.8501,3215.11011,3214.71997,3214.94995
2025-05-20 05:25:00,3214.93994,3215.44995,3214.57007,3214.76001
2025-05-20 05:26:00,3214.82007,3215.19995,3214.02002,3214.77002
2025-05-20 05:27:00,3214.76001,3215.61011,3214.48999,3215.61011
2025-05-20 05:28:00,3215.65991,3216.93994,3215.58008,3216.54004
2025-05-20 05:29:00,3216.55005,3216.6001,3215.15991,3215.61011
2025-05-20 05:30:00,3215.65991,3217.36011,3215.63989,3216.71997
2025-05-20 05:31:00,3216.71997,3218.18994,3216.68994,3218.01001
2025-05-20 05:32:00,3218.06006,3218.57007,3216.88989,3217.1001
2025-05-20 05:33:00,3217.12988,3217.82007,3216.61011,3216.75
2025-05-20 05:34:00,3216.78003,3217.52002,3215.32007,3215.46997
2025-05-20 05:35:00,3215.46997,3215.96997,3214.79004,3215.07007
2025-05-20 05:36:00,3215.09009,3215.19995,3213.43994,3213.43994
2025-05-20 05:37:00,3213.43994,3213.80005,3212.38989,3213.13989
2025-05-20 05:38:00,3213.1499,3213.1499,3211.86011,3212.68994
2025-05-20 05:39:00,3212.67993,3212.79004,3211.38989,3211.62012
2025-05-20 05:40:00,3211.62012,3212.13989,3210.84009,3211.77002
2025-05-20 05:41:00,3211.75,3212.11011,3211.23999,3211.44995
2025-05-20 05:42:00,3211.38989,3212.44995,3210.42993,3212.28003
2025-05-20 05:43:00,3212.23999,3212.94995,3211.86011,3212.51001
2025-05-20 05:44:00,3212.38989,3212.45996,3210.69995,3211.72998
2025-05-20 05:45:00,3211.71997,3212.38989,3211.31006,3212.19995
2025-05-20 05:46:00,3212.17993,3212.3501,3210.97998,3211.40991
2025-05-20 05:47:00,3211.3999,3211.67993,3210.01001,3210.87988
2025-05-20 05:48:00,3210.87988,3212.30005,3210.68994,3212.23999
2025-05-20 05:49:00,3212.23999,3213.44995,3211.98999,3212.06006
2025-05-20 05:50:00,3212.05005,3213.76001,3211.6499,3213.32007
2025-05-20 05:51:00,3213.32007,3213.33008,3211.07007,3211.12012
2025-05-20 05:52:00,3211.13989,3211.21997,3210.3501,3210.68994
2025-05-20 05:53:00,3210.69995,3211.51001,3210.65991,3210.88989
2025-05-20 05:54:00,3210.88989,3211.79004,3210.61011,3211.3501
2025-05-20 05:55:00,3211.34009,3211.43994,3210.70996,3211.09009
2025-05-20 05:56:00,3211.1001,3212.40991,3211.07007,3212.33008
2025-05-20 05:57:00,3212.34009,3212.8999,3212.26001,3212.56006
2025-05-20 05:58:00,3212.55005,3213.73999,3212.38989,3213.68994
2025-05-20 05:59:00,3213.67993,3214.48999,3213.65991,3213.88989
2025-05-20 06:00:00,3213.90991,3214.16992,3211.92993,3212.06006
2025-05-20 06:01:00,3212.06006,3212.3501,3210.07007,3210.62012
2025-05-20 06:02:00,3210.59009,3210.81006,3209.46997,3210.16992
2025-05-20 06:03:00,3210.17993,3211.33008,3209.65991,3210.8999
2025-05-20 06:04:00,3210.8999,3211.33008,3210.21997,3211.20996
2025-05-20 06:05:00,3211.19995,3212.58008,3210.82007,3212.53003
2025-05-20 06:06:00,3212.52002,3214.21997,3212.47998,3214.19995
2025-05-20 06:07:00,3214.21997,3214.26001,3213.18994,3213.86011
2025-05-20 06:08:00,3213.8501,3215.54004,3213.8501,3215.53003
2025-05-20 06:09:00,3215.53003,3216.95996,3215.08008,3216.6001
2025-05-20 06:10:00,3216.6001,3217.34009,3216.47998,3217.02002
2025-05-20 06:11:00,3217.01001,3217.18994,3216.13989,3216.61011
2025-05-20 06:12:00,3216.53003,3217.21997,3216.42993,3216.94995
2025-05-20 06:13:00,3216.92993,3218.38989,3216.92993,3218.37012
2025-05-20 06:14:00,3218.44995,3218.44995,3216.11011,3216.88989
2025-05-20 06:15:00,3216.98999,3217.84009,3215.70996,3217.40991
2025-05-20 06:16:00,3217.41992,3218.63989,3216.8999,3218.30005
2025-05-20 06:17:00,3218.30005,3219.09009,3218.09009,3218.91992
2025-05-20 06:18:00,3218.93994,3219.04004,3218.43994,3218.86011
